id	pin	a1	stt	a1a	a2	a2a1	a2a2	a2a3	a2a4	a2a5	a2a6	a3	a4a	a4b	a4c	a4d	a4e	a4f	a4g	a4h	a4i	a4j	a5	a5a	a6_1	a6_2	a6_3	lead_staff1	lead_staff2	lead_staff3	lead_non	other_staff1	other_staff2	other_staff3	other_non	rr	university	firm	other	total	a8	a8a	a8b	b1a	b1b	b1c	b1d	b2a_1	b2a_2	b2a_3	b2a_4	b2a_5	b2a_6	b2b_1	b2b_2	b2b_3	b2b_4	b2b_5	b2b_6	b2c_1	b2c_2	b2c_3	b2c_4	b2c_5	b2c_6	b2d_1	b2d_2	b2d_3	b2d_4	b2d_5	b2d_6	b3a	b3a1	b3a2	b3b	b3b1	b3b2	b3c	b3c1	b3c2	b3d	b3d1	b3d2	b3e	b3e1	b3e2	b3f	b3f1	b3f2	b3g	b3g1	b3g2	b3h	b3h1	b3h2	c1	c1a1	c1a2	c1a3	c1b	c2	c2a1	c2a2	c2a3	c2a4	c2a5	c2a6	c2a7	c2b	c3	c4a	c4b	c4c	c4d	c5a	c5b	c5c	c5d	c6	c7	c8	c9a	c9b	c9c	c9d	c9e	c10	c11	c12	c13	c14	c14a	c15	c16_hourly	c16_daily	c16_weekly	c16_monthly	c16_partday	c16_partweek	c16_hs	c16_prek	c16_mhs	c16_other	c16_in	c16_td	c16_ps	c16_sa	c16_sasy	c16_sas	c16_none	c16a_in	c16a_td	c16a_ps	c16a_sa	non_st	c17	c18	c18a	c19a	c19b	c19c	c19d	c19e	c20a	c20b	c20c	c20d	c20e	c20f	c20g	c20h	c20i	c20j	c20k	c20l	c20m	c20n	c20o	c20p	c20q	c20r	c20s	c20t	c20u	c20v	c20w	c20x	d1a	d1b	d1c	d1d	d1e	d1f	d1g	d2	d2a1	d2a2	d2a3	d2a4	d2a5	d2a6	d2a7	d3_county	d3_zip	d3_region	d3_state	d3_other	d3_in	d3_td	d3_ps	d3_sa	d3_sasy	d3_sas	d3_none	d3_center	d3_family	d3_group	d3_inhome	d3_ffn	d3_sacenter	d3_saact	d3_hourly	d3_daily	d3_weekly	d3_monthly	d4a	d4b	d4c	d4d	d4e	d4f	d4g	d5	d6	d7	d8	d9	d9a	d9a2	d10	e1a	e1b	e1c	e1d	e2a	e2b	e2c	e2d	e2e	e2f	f1	f2	f2a	f3	f4a	f4b	f4c	f4d	f4e	f4f	f4g	f4h	f4i	f4a1	f4a2	f4a3	f6_county	f6_zip	f6_region	f6_state	f6_other	f6_in	f6_td	f6_ps	f6_sa	f6_sasy	f6_sas	f6_none	f6_center	f6_family	f6_group	f6_inhome	f6_sacenter	f6_saact	f6_special	f6c1	f7a	f7b	f7c	f7d	f7e	f8
152408551	150	3	Bishop Paiute Tribe	 	1	1	1	1	1	1	0	20050805	1	3	3	3	5	2	1	1	1	1	1	2	4	4	4	2390400	 	 	 	3500000	 	 	 	 	 	 	 	5890400	1	200000	1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	32	1	0	 	 	0	 	 	0	 	 	1	6	1	0	 	 	2	2	1	2	12	1	2	-1	-1	-1	1	 	-1	-1	-1	-1	-1	-1	-1	 	 	 	 	 	 	-1	-1	 	 	 	1	1	-1	1	1	1	 	0	1	 	6	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	0	 	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	 	1	-1	1	-1	-1	1	1	1	1	1	20010101	1	 	2	1	1	1	1	1	1	1	1	1	B	E	D	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	0	1	1	1	1	-1	1
147627892	202	3	Prairie	 	1	0	0	0	0	0	0	20050531	1	1	9	1	9	9	1	9	9	1	0	 	4	4	4	28	 	 	 	 	 	 	 	 	 	 	 	28	0	 	 	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	1	0	 	 	0	 	 	0	 	 	1	3	1	0	 	 	1	1	1	1	1	1	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	0	3	0	0	3	-1	-1	 	 	20050531	 	 	-1	-1	 	 	 	 	 	 	1	2	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	-1	-1	0	0	0	0	0	0	 	 	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	9	-1	-1	1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	0	1	1	1	1	1	-1	-1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	 	 	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	20050721	0	 	0	0	0	1	0	1	0	1	0	1	C	E	G	0	0	0	1	0	1	1	1	0	-1	-1	-1	1	0	0	0	0	0	0	9	-1	-1	-1	-1	-1	0
147238381	230	3	White Earth Ojibwe Reservation Minnesota	 	0	 	 	 	 	 	 	20050510	3	3	1	3	3	3	1	1	3	1	1	2	5	5	5	351	351	262	 	150	150	150	 	 	 	 	 	1414	1	30000	1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	3	57	2	1	32	2	1	18	2	1	1	1	1	2	1	0	 	 	1	4	2	1	6	2	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	0	75	0	13	52	-1	-1	 	 	20050614	 	 	-1	-1	 	 	 	 	 	 	1	2	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	0	 	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	0	1	1	1	1	1	1	-1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	9	0	0	0	0	0	0	0	 	 	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	20050614	2	2	1	0	1	1	1	1	1	1	1	1	B	D	F	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	-1	-1	-1	-1	0
150472742	334	3	Kalispel Tribe of Indians	 	0	 	 	 	 	 	 	20050629	1	1	1	1	9	1	1	1	1	9	0	 	3	3	3	100	0	0	0	0	0	0	0	0	0	0	0	100	0	 	 	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	4	2	0	 	 	0	 	 	0	 	 	0	 	 	0	 	 	1	2	2	0	 	 	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	0	99999	0	99999	4	-1	-1	 	 	20050629	 	 	-1	-1	 	 	 	 	 	 	7	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	-1	-1	1	0	0	0	0	0	1	 	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1	-1	-1	2	1	1	-1	-1	1	1	-1	0	0	0	0	0	1	1	1	1	-1	-1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20010815	0	 	0	0	0	0	0	0	0	0	0	1	I	 	 	0	0	0	0	0	1	1	1	1	-1	-1	1	1	0	0	0	1	0	0	0	1	-1	-1	-1	-1	0
144346854	340	3	Port Gamble S'Klollom	 	0	 	 	 	 	 	 	20050505	1	9	9	1	9	9	9	1	1	1	0	 	9	3	9	358	 	 	 	82	 	 	 	 	 	 	 	999999	0	 	 	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	 	 	0	 	 	0	 	 	2	 	 	1	1	1	0	 	 	1	1	1	1	1	1	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	1	 	 	 	 	-1	-1	 	 	 	 	 	-1	-1	 	 	 	 	 	 	4	1	 	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	-1	-1	1	1	1	1	1	1	0	 	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	9	9	9	9	1	1	1	1	-1	-1	1	1	9	9	9	9	9	9	1	1	1	1	9	9	9	9	9	9	9	0	1	0	0	0	 	 	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	19900115	0	 	0	1	0	0	0	1	0	0	0	0	E	A	 	1	9	9	9	9	9	9	9	9	-1	-1	-1	9	9	9	9	9	9	9	0	-1	-1	-1	-1	-1	0
145407967	AK2	1	Alaska	2	0	 	 	 	 	 	 	20050628	1	1	9	5	9	1	1	1	1	1	1	2	3	1	3	10000	10000	 	 	 	 	 	 	 	 	8750	 	28750	1	1850000	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	753	3	0	 	 	0	 	 	0	 	 	0	 	 	0	 	 	2	1	3	0	 	 	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	0	753	27	316	410	-1	1	 	1	20050628	 	 	-1	-1	 	 	 	 	 	 	4	1	 	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	-1	1	1	1	1	0	1	0	 	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1	1	-1	3	-1	-1	-1	-1	1	-1	-1	0	0	1	0	0	1	1	1	1	1	1	-1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	 	 	0	1	1	-1	1	-1	1	1	1	-1	-1	20010701	1	 	0	1	1	1	1	1	1	1	1	1	D	E	H	0	0	1	0	0	1	1	1	1	1	1	-1	1	1	1	1	0	0	0	1	1	-1	-1	-1	-1	0
156426787	AL2	1	Alabama	0	0	 	 	 	 	 	 	20050615	1	1	1	1	1	1	1	1	9	9	1	2	2	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	999999	0	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3901	1	0	 	 	0	 	 	1	4637	1	1	99999	1	1	99999	1	0	 	 	0	 	 	1	1	-1	-1	 	0	1	-1	-1	-1	-1	-1	-1	 	0	4637	999999	367	1520	-1	-1	 	 	20050520	 	 	-1	-1	 	 	 	 	 	 	4	1	 	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	-1	1	-1	0	0	0	1	0	1	0	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	1	1	1	1	-1	1	-1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	 	 	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20051001	0	 	0	1	1	1	1	1	1	1	0	1	I	C	E	0	0	1	0	0	1	1	1	1	-1	1	-1	1	1	1	0	0	0	0	1	-1	-1	-1	-1	-1	0
148573151	AR2	1	Arkansas	0	0	 	 	 	 	 	 	20050430	1	1	3	3	1	1	1	1	1	1	1	2	4	3	4	8000	5000	 	 	 	 	 	 	17848	 	 	 	30848	1	531153	1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2231	1	0	 	 	0	 	 	2	 	 	0	 	 	0	 	 	0	 	 	0	 	 	2	-1	-1	-1	1	 	-1	-1	-1	-1	-1	-1	-1	 	 	 	 	 	 	-1	-1	 	 	 	2	1	-1	1	 	 	1	300	1	20050501	3	1	 	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	-1	-1	1	1	1	1	0	0	 	 	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	1	1	1	1	1	1	-1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	 	 	1	1	-1	-1	-1	-1	1	-1	-1	-1	1	20040701	2	1	1	1	0	1	1	1	0	1	0	1	E	I	D	1	0	0	0	0	1	1	1	1	1	1	-1	1	1	0	0	0	0	1	0	-1	1	-1	-1	-1	0
139377808	AZ3	1	Arizona	1	0	 	 	 	 	 	 	20050115	1	1	6	6	9	6	1	1	1	1	0	 	4	4	3	6171	1915	 	1000	 	 	 	 	 	 	 	63073	72159	1	1997000	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	3	6909	1	1	567	1	0	 	 	0	 	 	0	 	 	1	 	 	2	99999	1	2	99999	1	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	1	7025	55	1832	5138	-1	1	 	 	20040615	 	 	-1	-1	 	 	 	 	 	 	3	1	 	1	0	1	0	0	 	 	0	0	0	 	1	1	1	1	1	1	-1	1	1	1	1	0	0	 	 	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	1	0	0	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	 	 	1	1	1	1	-1	1	-1	1	1	1	1	20011001	0	 	0	1	1	1	1	1	1	1	1	1	E	C	I	0	0	1	0	0	1	1	1	1	1	1	-1	1	1	1	0	0	0	0	1	-1	-1	-1	-1	-1	0
147605849	CA2	1	California	0	1	1	1	0	1	1	0	20011231	1	3	5	5	3	5	5	3	3	1	1	3	4	5	5	18156	26928	5000	12744	 	 	 	 	279925	 	219945	 	562698	1	19869889	0	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	40307	3	0	 	 	0	 	 	2	 	 	0	 	 	0	 	 	0	 	 	0	 	 	1	-1	1	-1	 	0	-1	-1	-1	-1	-1	-1	-1	 	1	19359	968	4298	12893	-1	1	 	1	20011215	 	 	-1	-1	 	 	 	 	 	 	2	2	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	-1	1	0	1	1	1	0	 	 	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	1	-1	-1	1	2	-1	-1	-1	-1	-1	1	-1	1	0	1	0	1	1	0	1	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	 	1	-1	-1	1	-1	1	1	-1	-1	1	20031001	2	4	1	0	0	0	1	0	0	0	1	1	D	H	I	1	0	1	0	1	1	0	1	1	1	1	-1	1	1	1	1	0	0	0	1	-1	-1	-1	-1	1	1
