PIN	StateTerryTribe	CommentsA1A1a	CommentsA2	CommentsA3	CommentsA4	CommentsA5	CommentsA7	CommentsA8	CommentsA8b	CommentA9	CommentsSectionA	CommentsB1B2	CommentsB3a	CommentsB3b	CommentsB3c	CommentsB3d	CommentsB3e	CommentsB3f	CommentsB3g	CommentsB3h	CommentsSectionB	CommentsC1	CommentsC1a	CommentsC1b	CommentsC2	CommentsC2b	CommentsC4C5	CommentsC6	CommentsC7	CommentsC10C11	CommentsC12C14	CommentsC14a	CommentsC16a	CommentsC17	CommentsC18	CommentsSectionC	CommentsD1	CommentsD2a	CommentsD3	CommentsD4	CommentsD5	CommentsD6	CommentsD8	CommentsD9	CommentsSectionD	CommentsSectionE	CommentsF1	CommentsF2	CommentsF2a	CommentsF4	CommentsF6	CommentsF7F8	CommentsSectionF
150	Bishop Paiute Tribe	 	 	 	Respondent selected multiple organizations for each section.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	And Providers and facilities	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Month/day/year unknown	 	 	 	 	 
202	Prairie Band Potawatomi	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
230	White Earth Ojibwe Reservation Minnesota	 	Just that child care providers must charge the same rate to families, whether they are on child care assistance or not	 	We used the State's CCR&R data, randomly called providers/centers in our service area and contacted the county social services in our area and recieved their rates.  Staff and some advisory board members compared all the data and set our rates accordingly.	 	This is an estimated cost, which I think is on the high end.	Staff time, advertisements, meetings/networking, referrals, phone, internet, technical assistance and quality improvement.	Within our Tribal program, we have staff that share in the CCR&R services that we offer that are integrated throughout our program services.	With our subsidy program, we have families that still use relative care and sometimes we feel it is not the best care.  We do require criminal background checks on all unlicensed as well as offer health & safety training, child development training, but many choose not to participate in quality initiatives.  There is a huge need for part-day care.  Many Head Start and school age children don't have a place to go, because most licensed cc providers choose to take full day children.  Head Starts need to start helping with before and after school initiatives within their centers, as parents will choose to keep their children in full day child care and not send them to HS.	It is important to provide information to the general public about the expense of child care to working families.  On the flip side of that, how our child care providers are working with low hourly wages with no benefits.....	 	 	 	 	 	 	 	 	 	Rural market rates surveys tend to reflect lower rates than the metro-based market rates surveys. It is hard for rural providers to raise their rates to be even comparable to metro-based cc provider rates, because, once they do, they may loose families to unlicensed care, as parents arent' accustomed to paying higher rates.  It is important to raise the issue of the cost of cc to the general public.	we used all of the above, but can only check one	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
334	Kalispel Tribe of Indians	 	 	 	 	 	 	 	 	 	We complete our own, but our area is small	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
340	Port Gamble S'Klollom	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	All answers on this page unknown because respondent didn't supply answers.	 	 	 	C13 - or more then 1 hour when calls were returned the next day/locating correct person.	 	On the hard copy version it is not broken down into sections (infant, toddler, etc.)  REsponse is yes but does not specify which categories.	 	 	 	 	 	Don't know in this section constitutes no response.	Don't know is no response	No response	 	 	 	 	 	 	Month (01) and day (15) are both no responses.	 	 	Don't know = no response	 	 
AK2	Alaska	 	 	 	 	 	Assumes about 2 months' worth of Research Analyst time ($10,000) and the sum of other peoples' efforts in the Division to be equal to the time of the Research Analyst. The contractor who did the telephone survey was paid $8,750. Expenses the Child Care Resource and Referral agencies might incur in using the MRS data or doing further analysis is not included in the expense estimate.	 	 	A 2 on the first question because State set rates are considerably lagging the actual rates charged by providers.    A 4 on the second, because Alaska's percentage of eligible families served is fairly high compared to many other States, even if we can not reach all families at 85% of State Median Income.    A 3 on the third question because subsidy children are distributed across a wide spectrum of providers, just as are non subsidy children, and so we believe the care received by subsidy children is much the same as that for non subsidy children.	In a very small population state like ours, attempting to reach the whole population rather than sampling may prove more efficient and effective. Our entire universe of providers may in many instances be much smaller than the samples drawn in larger population states.	 	 	 	 	 	 	Does not include military centers (exempt from our regulations, but possible to obtain subsidy). Could include family child care providers that are located on a base.	There is just 1 Indian reservation in Alaska and it has 1 center, which is in the data set. Tribal Organizations provide their own subsidies to providers. Some Tribes certify their own providers, but if a provider cares for more than 4 children and any one of the children is not a relative of the provider, the provider is regulated by the state.	Alaska is unusual in that it has Native Corporations and Tribal Organizations, rather than reservations. The only Indian reservation that exists has its providers subject to state regulation.	The universe of providers in Alaska would be a small sample for many other states. Our methodology would not perhaps withstand the rigors that someone else might impose. Given the very small number of providers, the methodology of calling a provider N times, at a variety of times of day/days of the week, and then abandoning efforts after N times would have resulted in a very small sample (unless N was set at infinite), because our contractor would have exhausted his list of potential respondents very quickly with very few responders. Effort was spent beyond that to increase the number of completed surveys, but such efforts might be interpreted as giving certain respondents greater weight in the survey (a higher probability of having been captured), but the alternative would have been a very small sample size and many cells (by region and provider type) with little or no data.	 	 	 	The survey was not piloted per se, but the methodology was essentially the same as in prior years. The 2005 contractor had done the work in at least one prior year. The questions were essentially the same as the year before, although the survey was much shorter, i.e., many questions were deleted from the prior year's survey.	 	Only 27 providers explicitly refused to participate.  105 others had disconnected phones, said it was the wrong number, said they were no longer in business, did not speak english...etc    That leaves 211 for whom either there was never an answer to the phone calls (rings but no answering machine or person ever answers), messages were left but no call backs, the person said call again over and over or said they would call back and did not.  Although this counts 4 providers for whom their was no phone number in our database.    I conted 211-4=207 plus 27 explicit refusals as non responders, so 410/644 is our response rate.    Of course, some of the 234 Non respondents are in fact no longer in business and should not have been part of the sample/universe.  Some of the 109 that I say should not have been part of the sample, were actually in fact just refusing to participate.	Not sure what the discrepancy between this question and A3.  6/28/05 is the postmark on the email from the providerthat contained the final survey data, which from my point of view was when it was completed.  I would speculate that they may well have conducted their last survey somewhat earlier.	 	 	Small providers (licensed homes) might complete the survey in a few minutes. Large facilities might take a good deal longer. The contractor initially estimated about 15 minutes per survey, but found it was frequently taking longer, sometimes much longer for the bigger providers. In addition to questions regarding rates, our survey asked questions about employees. And so, for homes with just an owner operator, the survey was quite short. Centers frequently needed to gather information, and may well have spent more time than the length of the phone conversation would suggest.	 	We interpret School-age School Year as Part Time, School-Age Summer as full time, but respondents were supposed to answer the questions based on April 2005.	 	 	 	 	In general we weight rates by reported enrollment/attendance (not capacity), but might look at it other ways as well.    Various other questions not related to rates were asked, and typically would be reported with the provider as the unit of measurement.    We stratified our sample by provider type, and data is frequently reported by type: Center, Group Home, Licensed Home.	I indicate no above, but to some extent we will analyze data on a statewide level, especially non-rate related questions. We possess enough information (we know the county and zip codes of the respondents) and could analyze the data in other ways.	Rates are set by region, and so a community that previously had no providers would still have its rates determined based on the region in which it was located.    Analysis based on quality, eduaction and other matter, including rates over time may be done from time to time, but it is not per se a part of the market rate Survey, but rather Market rate Survey in combination with other data would be used for such analysis.	Questions were asked in standardised units.	The percentile ranking of the state rates serves as a measure of market access for subsidy children.	I have mentioned the issue of our relatively small Universe of Providers, but that issue is a problem endemic in Alaska data do to our small population.  For many instances even switching to total universe reporting doe not solve the problem.  Since the problem is one endemic in Alaska's small poulation, I do not neccessarily view it as a methodological issue.	 	 	Our data could go onto our website at some time, but has not and historically has not.  Our reports, or at least some of them, will essentially be available to the public, in practical terms the only people we target to reach an are sure we do reach are our R&R, LA's and providers; in the case of the latter, it tends to be the larger providers taking an active interest.    Other groups are in general welcome to have access to information, and we would love to be reaching more people so as to educate them on childcare issues, but in practical terms the contact with people outside of the 'Childcare Community' is not good.  This is not because this office wishes to withhold information, but a reflection of the low priority our society places on childcare issues.	 	 	 	 	 	Once again, rates were set by geographic region, s a community with no providers had its rates set, so that should a provider appear in a community where there had previously been none, we would know what rate was applicable.	 
AL2	Alabama	 	 	 	 	An Advisory Group reviewed and helped develop questions for the 2001.  Shorter version of that survey was used in 2005.	Several staff in different areas of the Department contributed to the survey process, including Information Systems personnel, Finance personnel, printing Department and State child care staff, printing .  Extensive staff time was more a factor than cost.	A8a - Alabama contracts with several agencies to administer resource and referral services along with other child care subsidy services.  Cost for R&R actiavies only can not distinguished from other services.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
AR2	Arkansas	 	 	 	 	Arkansas Early Childhood Commission	 	 	In regards to question A8a:  The $531,153.33 depicts the total professional services contract with five child care resource and referral agencies in Arkansas.  However, for the last market rate survey, only four out of the five organizations were utilized for the survey.	 	The State of Arkansas conduct annual market rate survey utilizing the child care resource and referral network to gathter the data.  We have raised the cap rates for voucher services in two out of the last three years.	 	 	The State of Arkansas mandates that all child care centers or child care family homes be licensed if you care for more than five children.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
AZ3	Arizona	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Comment on response to Q# B1: 'other please specify'  databases of providers participating in the Child & Adult Care Food Program.  Program is administered in Arizona by the Department of Education through contracts with multiple entities that maintian their own database of providers.    Comment on response to Q# B3b1:  This number reflects the total number of family child care providers who choose to register with the CCRR.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Comment on response to Q# C2: While the most recent survey was not field tested, a field test had been conducted on the survey instrument at a previous point in time.    Comment on response to Q#C4c.  In addition to providers who refused to participate in the survey, the difference between C4a. and C4c is due to providers subsequently being dropped from the survey population due to reasons such as: currently not providing care to children; not charging for child care; not having a valid telephone number, etc.    Comments on responses to Q# C16:    Specific rate information was not collected from providers on Non-standard hours care; however provider were asked if Non-standard hours care was provided.    For School-age rates, information was collected but not broken down by school year and summer.  Rather data was collected by full and part day from which specific program time period rate could be inferred.    Comments on responses to Q# C18:  Under Provider Infomation, instead of Licensed capacity for children, our survey question was 'How many children do you have approval to care for?'    Under Provider/Caregiver Characteristics, 'Center based provider education level, training level, wages and benefit level; Information was not collected in our Market Rate Survey.  It was however collected in a survey funded by a different state agency.	 	 	 	 	 	 	 	 	Comment to response to Q# D1: No-fee centers were excluded from the survey and therefore also excluded from the rate analysis.    Comments to responses to Q#D3:  Regions included county clusters as well as individual counties in some instances.    Related to 'school-age school year' and school-age summer'; see comments to Q# C16.    Comments to Q# D4: Rates in limited markets such as rural areas were analyzed not separately; but were indeed analyzed due to the very nature of our state's geographic regions.	 	 	 	 	 	 	 	Comments on responses to Q# F6:  Re: Region - see commnet to Q# D3  Re: school-age school year, school-age summer - see comment to Q#C16.    General survey comments:  It would have been convenient to have a comment section available after every question.    It would be helpful to be able to go back to the beginning of a section with a single key stroke as opposed to having to page back one page at a time.    For individuals who were inputting/responding to more than one section, it would have been convenient to only have to 'log in' once as opposed to multiple times for each section.    Question?  Since a 'Field-Test Version' (such as this) was completed, will it be necessary to complete another survey when it goes out to all states?
CA2	California	 	 	Analysis was performed in Spring of 2002 and again in Spring of 2003, based on Budget Act requirements. The actual survey took place between October and December, 2001, with further analysis in 2002 and 2003.	 	The Lead agency was required by Budget Act to consult with other state departments and the Legislative Analyst's Office.  The Budget Act specified consultation with the Departments of Social Services and Finance and with the non-partisan Legislative Analyst's Office.  State law (Ed Code section 8447(f) requires Department of Finance approval of any changes to the regional market rate schedules.	Other CDE staff and Dept. of Social Services staff partipated in meetings.  Unable to determine their cost.	 	A8a. funds for 2003-04. A8b. Each R&R program is responsible for the reliability of its data.	 	 	 	 	The rates for license exempt providers are derived from rates of licensed family child care homes.	 	 	 	 	 	 	 	 	 	 	survey was piloted (tested) when first developed	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	licensed family child care homes only	 	D8. - full time hourly and part time daily rate categories were not used; conversion factors were used to calculate monthly rates for family child care homes, and a new regional replacement method was used when sample sizes were too small.	 	 	 	 	 	Comparing full-time monthly ceiling changes for centers:  -Average increase of 2.1%  -52.5% had a decrease, while 37.7% had an increase.  For family child care homes (and group homes):  -Average increase of 2.9%  -31.1% had a decrease, while 67.2% had an increase.	 	Full-time ceilings are set at 90% of the family child care home ceilings. There is only a part-time hourly ceiling, that is set by dividing the full-time weekly by 45 hours, with a minimum of at least $2.00/hour. The "ceiling" is the maximum reimbursement per category for subsidized child care. We only use the word "rate" when it refers to the providers fee for providing child care.	Rates were based on the number of respondents, not the price.	Prior to the Budget Act of 2003-04, the ceilings for licensed programs were set at 1.5 standard deviations above the mean.
