Table 1,,,,,,,
Child Care and Development Fund,,,,,,,
,,,,,,,
Average Monthly Adjusted Number of Families and Children Served (FY 2012) ,,,,,,,
States/Territories,Average Number of Families,Average Number of Children,,,,,
Alabama,"13,900","26,000",,,,,
Alaska,"2,700","4,200",,,,,
American Samoa,800,800,,,,,
Arizona,"18,000","27,500",,,,,
Arkansas,"4,400","7,100",,,,,
California,"69,600","101,800",,,,,
Colorado,"9,100","15,800",,,,,
Connecticut,"6,600","9,600",,,,,
Delaware,"4,700","7,500",,,,,
District of Columbia,"1,000","1,300",,,,,
Florida,"58,600","83,600",,,,,
Georgia,"24,800","45,800",,,,,
Guam,200,300,,,,,
Hawaii,"5,600","9,300",,,,,
Idaho,"3,200","5,800",,,,,
Illinois,"30,300","52,800",,,,,
Indiana,"17,700","34,200",,,,,
Iowa,"9,000","15,800",,,,,
Kansas,"10,400","19,200",,,,,
Kentucky,"13,900","25,200",,,,,
Louisiana,"19,400","28,700",,,,,
Maine,"1,800","2,700",,,,,
Maryland,"11,200","18,900",,,,,
Massachusetts,"20,800","27,900",,,,,
Michigan,"29,800","54,200",,,,,
Minnesota,"14,200","25,700",,,,,
Mississippi,"10,400","19,500",,,,,
Missouri,"30,900","47,900",,,,,
Montana,"2,500","4,100",,,,,
Nebraska,"6,500","11,600",,,,,
Nevada,"2,800","4,800",,,,,
New Hampshire,"3,900","5,400",,,,,
New Jersey,"21,700","31,400",,,,,
New Mexico,"11,800","19,800",,,,,
New York,"72,500","122,700",,,,,
North Carolina,"35,400","73,100",,,,,
North Dakota,"1,500","2,300",,,,,
Northern Mariana Islands,200,200,,,,,
Ohio,"27,200","47,700",,,,,
Oklahoma,"15,100","24,800",,,,,
Oregon,"7,600","13,900",,,,,
Pennsylvania,"56,500","95,600",,,,,
Puerto Rico,"11,400","14,000",,,,,
Rhode Island,"3,500","5,700",,,,,
South Carolina,"9,400","15,500",,,,,
South Dakota,"3,300","5,400",,,,,
Tennessee,"21,000","38,900",,,,,
Texas,"71,200","122,800",,,,,
Utah,"7,000","12,500",,,,,
Vermont,"3,200","4,500",,,,,
Virgin Islands,400,500,,,,,
Virginia,"12,300","21,200",,,,,
Washington,"22,700","39,100",,,,,
West Virginia,"4,200","7,100",,,,,
Wisconsin,"20,400","34,200",,,,,
Wyoming,"2,900","4,700",,,,,
National Total,"901,100","1,502,600",,,,,
Notes applicable to this table:,,Data as of: 12-JUN-2014 ,,,,,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,
"2. All counts are ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record.",,,,,,,
"4. At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012. ",,,,,,,
5. The reported results shown above have been rounded to the nearest 100. The National numbers are simply the sum of the State and Territory numbers.,,,,,,,
,,,,,,,
