Table 10,,,,,,,,,
Child Care and Development Fund,,,,,,,,,
,,,,,,,,,
"Reasons for Receiving Care, Average Monthly Percentage of Families (FY 2012)",,,,,,,,,
State,Employment,Training/ Education,"Both Employment &
Training/Education",Protective Services,Invalid/Not Reported,Total,,,
,,,,,,,,,
Alabama ,72%,15%,4%,9%,0%,100%,,,
Alaska ,78%,5%,6%,10%,0%,100%,,,
American Samoa ,91%,3%,6%,0%,0%,100%,,,
Arizona ,45%,0%,9%,46%,0%,100%,,,
Arkansas ,63%,16%,3%,17%,0%,100%,,,
California ,80%,12%,6%,2%,0%,100%,,,
Colorado ,61%,9%,25%,0%,6%,100%,,,
Connecticut ,93%,6%,1%,0%,0%,100%,,,
Delaware ,87%,3%,1%,9%,0%,100%,,,
District of Columbia ,63%,34%,3%,1%,0%,100%,,,
Florida ,62%,5%,6%,26%,0%,100%,,,
Georgia ,78%,10%,2%,10%,0%,100%,,,
Guam,80%,9%,9%,1%,0%,100%,,,
Hawaii ,77%,9%,13%,1%,0%,100%,,,
Idaho ,70%,13%,17%,0%,0%,100%,,,
Illinois ,86%,12%,2%,0%,0%,100%,,,
Indiana ,78%,11%,10%,0%,0%,100%,,,
Iowa ,92%,5%,0%,3%,0%,100%,,,
Kansas ,95%,1%,4%,0%,0%,100%,,,
Kentucky ,88%,3%,6%,2%,0%,100%,,,
Louisiana ,76%,6%,12%,6%,0%,100%,,,
Maine ,85%,4%,11%,0%,0%,100%,,,
Maryland ,72%,16%,13%,0%,0%,100%,,,
Massachusetts ,68%,10%,2%,20%,0%,100%,,,
Michigan ,72%,1%,25%,1%,0%,100%,,,
Minnesota ,83%,6%,11%,0%,0%,100%,,,
Mississippi ,40%,27%,31%,1%,0%,100%,,,
Missouri ,60%,16%,2%,21%,0%,100%,,,
Montana ,60%,13%,14%,14%,0%,100%,,,
Nebraska ,73%,8%,5%,14%,0%,100%,,,
Nevada ,86%,2%,3%,9%,0%,100%,,,
New Hampshire ,83%,10%,0%,6%,1%,100%,,,
New Jersey ,75%,11%,3%,11%,0%,100%,,,
New Mexico ,71%,19%,10%,0%,0%,100%,,,
New York ,83%,14%,2%,1%,0%,100%,,,
North Carolina ,90%,9%,1%,0%,0%,100%,,,
North Dakota ,78%,14%,8%,0%,0%,100%,,,
Northern Mariana Islands ,94%,6%,0%,0%,0%,100%,,,
Ohio ,81%,7%,11%,0%,0%,100%,,,
Oklahoma ,80%,16%,3%,0%,0%,100%,,,
Oregon ,92%,4%,4%,0%,0%,100%,,,
Pennsylvania ,75%,11%,9%,0%,4%,100%,,,
Puerto Rico,80%,18%,1%,1%,0%,100%,,,
Rhode Island ,88%,12%,1%,0%,0%,100%,,,
South Carolina ,67%,23%,2%,7%,0%,100%,,,
South Dakota ,65%,9%,12%,14%,0%,100%,,,
Tennessee ,43%,29%,29%,0%,0%,100%,,,
Texas ,69%,13%,5%,12%,0%,100%,,,
Utah ,95%,2%,2%,0%,2%,100%,,,
Vermont ,54%,21%,2%,23%,0%,100%,,,
Virgin Islands ,69%,24%,1%,6%,0%,100%,,,
Virginia ,77%,11%,11%,0%,0%,100%,,,
Washington ,74%,3%,23%,0%,0%,100%,,,
West Virginia ,79%,9%,11%,0%,1%,100%,,,
Wisconsin ,94%,0%,5%,0%,0%,100%,,,
Wyoming ,92%,8%,0%,0%,0%,100%,,,
National ,75%,11%,8%,6%,0%,100%,,,
Notes applicable to this report:,,,,,,Data as of: 12-JUN-2014 ,,,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month was directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record.  ",,,,,,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,,
"5.  At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.  ",,,,,,,,,
"6. The Invalid/Not Reported only includes family records with an invalid or missing number for ACF-801 element 6, Reason for Receiving Subsidized Child Care.",,,,,,,,,
"7. Several States only capture the primary reason for receiving services and therefore do not report any families in Both Employment and Training/Education categories.  States reporting no families in this combination category of Both Employment and Training/Education are Iowa, New Hampshire, Northern Mariana Islands, and Wyoming.",,,,,,,,,
"8. OCC has observed some issues with income reporting across most States to varying degrees.  OCC is working with States to address and resolve internal inconsistencies between ACF-801 element 6 (reason for receiving a subsidy), element 9 (total income for determining eligibility), and elements 10 through 15 (sources of income).",,,,,,,,,
"9. Beginning FFY 2011, States and Territories were no longer allowed to report ""Other"" as a Reason for Care.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
