Table 11,,,,,,,,,,,,,
Child Care and Development Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,
Average Monthly Percentages of Children by Racial Group (FY 2012),,,,,,,,,,,,,
State,Native,Asian,Black/        African American,Native Hawaiian/ Pacific Islander,White,"Multi-
Racial","Invalid/Not 
Reported",Total,,,,,
,American /,,,,,,,,,,,,
,Alaska Native,,,,,,,,,,,,
Alabama ,0%,0%,79%,0%,20%,1%,0%,100%,,,,,
Alaska ,8%,5%,11%,6%,44%,20%,5%,100%,,,,,
American Samoa ,0%,1%,0%,98%,0%,1%,0%,100%,,,,,
Arizona ,6%,0%,15%,1%,73%,5%,0%,100%,,,,,
Arkansas ,0%,0%,59%,0%,36%,1%,3%,100%,,,,,
California ,2%,4%,20%,1%,71%,2%,0%,100%,,,,,
Colorado ,1%,0%,8%,0%,31%,4%,56%,100%,,,,,
Connecticut ,1%,1%,32%,0%,34%,8%,25%,100%,,,,,
Delaware ,0%,0%,65%,0%,34%,1%,0%,100%,,,,,
District of Columbia ,1%,0%,84%,1%,12%,0%,2%,100%,,,,,
Florida ,0%,0%,48%,0%,48%,4%,0%,100%,,,,,
Georgia ,0%,0%,82%,0%,15%,2%,1%,100%,,,,,
Guam,0%,15%,1%,70%,0%,13%,1%,100%,,,,,
Hawaii ,0%,20%,1%,35%,12%,32%,0%,100%,,,,,
Idaho ,0%,0%,2%,0%,97%,1%,0%,100%,,,,,
Illinois ,0%,1%,53%,0%,21%,3%,22%,100%,,,,,
Indiana ,0%,0%,51%,0%,40%,9%,0%,100%,,,,,
Iowa ,1%,1%,16%,0%,77%,6%,0%,100%,,,,,
Kansas ,1%,1%,26%,0%,63%,5%,4%,100%,,,,,
Kentucky ,0%,0%,31%,0%,52%,0%,17%,100%,,,,,
Louisiana ,0%,0%,73%,0%,24%,1%,0%,100%,,,,,
Maine ,1%,0%,2%,0%,93%,1%,2%,100%,,,,,
Maryland ,0%,0%,78%,0%,17%,3%,0%,100%,,,,,
Massachusetts ,0%,2%,18%,0%,24%,2%,54%,100%,,,,,
Michigan ,0%,0%,51%,0%,44%,2%,2%,100%,,,,,
Minnesota ,2%,3%,36%,0%,50%,8%,0%,100%,,,,,
Mississippi ,0%,0%,92%,0%,7%,0%,0%,100%,,,,,
Missouri ,0%,0%,56%,0%,40%,1%,3%,100%,,,,,
Montana ,13%,0%,2%,0%,80%,3%,1%,100%,,,,,
Nebraska ,3%,0%,25%,0%,53%,2%,17%,100%,,,,,
