Table 12,,,,,,,,,
Child Care and Development Fund,,,,,,,,,
,,,,,,,,,
Average Monthly Percentages of Children by Latino Ethnicity (FY 2012),,,,,,,,,
State,Latino,Not Latino,Invalid/Not Reported,Total,,,,,
Alabama,1%,99%,0%,100%,,,,,
Alaska,11%,87%,2%,100%,,,,,
American Samoa,0%,100%,0%,100%,,,,,
Arizona,43%,57%,0%,100%,,,,,
Arkansas,4%,96%,0%,100%,,,,,
California,62%,38%,0%,100%,,,,,
Colorado,26%,74%,0%,100%,,,,,
Connecticut,39%,61%,0%,100%,,,,,
Delaware,11%,89%,0%,100%,,,,,
District of Columbia,15%,85%,0%,100%,,,,,
Florida,26%,74%,0%,100%,,,,,
Georgia,3%,97%,0%,100%,,,,,
Guam,1%,99%,0%,100%,,,,,
Hawaii,7%,93%,0%,100%,,,,,
Idaho,15%,85%,0%,100%,,,,,
Illinois,21%,75%,3%,100%,,,,,
Indiana,10%,90%,0%,100%,,,,,
Iowa,14%,86%,0%,100%,,,,,
Kansas,15%,85%,0%,100%,,,,,
Kentucky,5%,95%,0%,100%,,,,,
Louisiana,2%,98%,0%,100%,,,,,
Maine,2%,98%,0%,100%,,,,,
Maryland,4%,96%,0%,100%,,,,,
Massachusetts,32%,68%,0%,100%,,,,,
Michigan,5%,95%,0%,100%,,,,,
Minnesota,7%,93%,0%,100%,,,,,
Mississippi,0%,100%,0%,100%,,,,,
Missouri,4%,95%,1%,100%,,,,,
Montana,6%,94%,1%,100%,,,,,
Nebraska,10%,85%,5%,100%,,,,,
Nevada,33%,65%,2%,100%,,,,,
New Hampshire,8%,92%,0%,100%,,,,,
New Jersey,34%,66%,0%,100%,,,,,
New Mexico,77%,23%,0%,100%,,,,,
New York,30%,70%,0%,100%,,,,,
North Carolina,5%,95%,0%,100%,,,,,
North Dakota,4%,96%,0%,100%,,,,,
Northern Mariana Islands,0%,100%,0%,100%,,,,,
Ohio,5%,95%,0%,100%,,,,,
Oklahoma,12%,88%,0%,100%,,,,,
Oregon,3%,97%,0%,100%,,,,,
Pennsylvania,14%,83%,3%,100%,,,,,
Puerto Rico,93%,7%,0%,100%,,,,,
Rhode Island,15%,85%,0%,100%,,,,,
South Carolina,2%,13%,85%,100%,,,,,
South Dakota,4%,96%,0%,100%,,,,,
Tennessee,2%,98%,0%,100%,,,,,
Texas,45%,53%,2%,100%,,,,,
Utah,18%,82%,0%,100%,,,,,
Vermont,2%,98%,0%,100%,,,,,
Virgin Islands,12%,87%,0%,100%,,,,,
Virginia,9%,91%,0%,100%,,,,,
Washington,5%,66%,29%,100%,,,,,
West Virginia,3%,97%,0%,100%,,,,,
Wisconsin,11%,82%,7%,100%,,,,,
Wyoming,13%,87%,0%,100%,,,,,
National ,21%,77%,2%,100%,,,,,
Notes applicable to this report:,,,,Data as of: 12-JUN-2014 ,,,,,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800. This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record.",,,,,,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,,
"5.   At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.",,,,,,,,,
6. The Invalid/Not Reported category includes children where anything other than a No (0) or Yes (1) was in the Ethnicity field.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
