Table 16,,,,,
Child Care and Development Fund,,,,,
,,,,,
Average Monthly Percent of Families Reporting Income from TANF (FY 2012),,,,,
State,TANF (% Yes),TANF (% No),Invalid/Not Reported,Total,
Alabama,26%,74%,0%,100%,
Alaska,11%,89%,0%,100%,
American Samoa,0%,100%,0%,100%,
Arizona,19%,81%,0%,100%,
Arkansas,19%,81%,0%,100%,
California,13%,87%,0%,100%,
Colorado,27%,73%,0%,100%,
Connecticut,12%,88%,0%,100%,
Delaware,19%,81%,0%,100%,
District of Columbia,16%,84%,0%,100%,
Florida,7%,91%,2%,100%,
Georgia,7%,93%,0%,100%,
Guam,0%,100%,0%,100%,
Hawaii,24%,76%,0%,100%,
Idaho,2%,98%,0%,100%,
Illinois,7%,93%,0%,100%,
Indiana,13%,87%,0%,100%,
Iowa,10%,90%,0%,100%,
Kansas,7%,93%,0%,100%,
Kentucky,2%,98%,0%,100%,
Louisiana,8%,87%,6%,100%,
Maine,5%,95%,0%,100%,
Maryland,39%,61%,0%,100%,
Massachusetts,23%,77%,0%,100%,
Michigan,22%,78%,0%,100%,
Minnesota,33%,67%,0%,100%,
Mississippi,33%,67%,0%,100%,
Missouri,13%,87%,0%,100%,
Montana,14%,86%,0%,100%,
Nebraska,21%,79%,0%,100%,
Nevada,57%,43%,0%,100%,
New Hampshire,28%,65%,6%,100%,
New Jersey,21%,79%,0%,100%,
New Mexico,17%,83%,0%,100%,
New York,44%,56%,0%,100%,
North Carolina,5%,95%,0%,100%,
North Dakota,22%,78%,0%,100%,
Northern Mariana Islands,0%,100%,0%,100%,
Ohio,16%,84%,0%,100%,
Oklahoma,9%,91%,0%,100%,
Oregon,18%,82%,0%,100%,
Pennsylvania,18%,82%,0%,100%,
Puerto Rico,0%,100%,0%,100%,
Rhode Island,15%,85%,0%,100%,
South Carolina,15%,0%,85%,100%,
South Dakota,8%,92%,0%,100%,
Tennessee,68%,32%,0%,100%,
Texas,0%,89%,11%,100%,
Utah,9%,91%,0%,100%,
Vermont,5%,95%,0%,100%,
Virgin Islands,3%,97%,0%,100%,
Virginia,34%,66%,0%,100%,
Washington,18%,82%,0%,100%,
West Virginia,11%,89%,0%,100%,
Wisconsin,12%,88%,0%,100%,
Wyoming,0%,100%,0%,100%,
National ,17%,81%,2%,100%,
Notes applicable to this report:,,,,Data as of: 12-JUN-2014 ,
1. The source for this table is ACF-801 data for FY 2012.,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800. This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record. ",,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero. In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,
"5. At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
