Table 17,,,,,,,
Child Care and Development Fund,,,,,,,
,,,,,,,
Average Monthly Mean Family Co-payment as a Percent of Family Income (FY 2012),,,,,,,
State/Territories,Percent of Families,,,,Mean CoPay as a Percent of Income,,
,"Families with $0 Income;
Headed by a Child;
In Protective Services;
Invalid CoPay or Income
(Category A)","Families with
$0 CoPay
(and not in
Category A)","Families with
CoPay > $0
(and not in
Category A)",Total of All Families,"Including
Families
with
$0 CoPay","Excluding
Families
with
$0 CoPay",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Alabama,17%,13%,70%,100%,7%,8%,
Alaska,28%,1%,71%,100%,6%,6%,
American Samoa,7%,93%,0%,100%,0%,0%,
Arizona,50%,10%,40%,100%,3%,4%,
Arkansas,54%,40%,6%,100%,1%,10%,
California,4%,65%,31%,100%,1%,4%,
Colorado,29%,11%,59%,100%,10%,11%,
Connecticut,5%,5%,89%,100%,4%,5%,
Delaware,14%,32%,54%,100%,5%,8%,
District of Columbia,38%,11%,51%,100%,3%,3%,
Florida,30%,0%,70%,100%,6%,6%,
Georgia,19%,10%,70%,100%,7%,8%,
Guam,4%,41%,55%,100%,4%,6%,
Hawaii,4%,13%,84%,100%,10%,12%,
Idaho,12%,0%,88%,100%,12%,12%,
Illinois,2%,1%,97%,100%,5%,5%,
Indiana,1%,77%,22%,100%,2%,7%,
Iowa,14%,46%,40%,100%,2%,4%,
Kansas,18%,15%,67%,100%,4%,5%,
Kentucky,5%,17%,78%,100%,6%,7%,
Louisiana,7%,5%,88%,100%,9%,9%,
Maine,7%,6%,87%,100%,7%,7%,
Maryland,18%,28%,54%,100%,7%,11%,
Massachusetts,27%,20%,52%,100%,6%,9%,
Michigan,25%,16%,59%,100%,2%,3%,
Minnesota,2%,32%,67%,100%,2%,3%,
Mississippi,31%,3%,66%,100%,15%,16%,
Missouri,26%,20%,54%,100%,4%,6%,
Montana,17%,0%,83%,100%,4%,4%,
Nebraska,33%,52%,14%,100%,2%,8%,
Nevada,11%,23%,66%,100%,3%,4%,
New Hampshire,10%,0%,90%,100%,7%,7%,
New Jersey,14%,44%,42%,100%,3%,5%,
New Mexico,7%,15%,78%,100%,4%,5%,
New York,4%,38%,58%,100%,3%,6%,
North Carolina,14%,4%,82%,100%,8%,8%,
North Dakota,27%,18%,56%,100%,9%,12%,
Northern Mariana Islands,4%,96%,0%,100%,0%,0%,
Ohio,23%,4%,73%,100%,5%,5%,
Oklahoma,28%,19%,54%,100%,6%,8%,
Oregon,10%,6%,84%,100%,9%,9%,
Pennsylvania,19%,0%,81%,100%,7%,7%,
Puerto Rico,21%,58%,21%,100%,1%,3%,
Rhode Island,12%,33%,55%,100%,3%,4%,
South Carolina,9%,26%,65%,100%,5%,6%,
South Dakota,21%,46%,33%,100%,5%,11%,
Tennessee,1%,70%,29%,100%,2%,8%,
Texas,23%,4%,73%,100%,9%,9%,
Utah,5%,7%,88%,100%,4%,5%,
Vermont,40%,28%,31%,100%,4%,7%,
Virgin Islands,14%,84%,2%,100%,0%,0%,
Virginia,8%,35%,57%,100%,6%,10%,
Washington,10%,0%,90%,100%,5%,5%,
West Virginia,7%,12%,81%,100%,2%,2%,
Wisconsin,11%,6%,83%,100%,6%,6%,
Wyoming,10%,12%,78%,100%,7%,8%,
National ,16%,21%,63%,100%,5%,7%,
Notes applicable to this report:,,,,,,Data as of: 12-JUN-2014 ,
1. The source for this table is ACF-801 data for FY 2012.,,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,
"3. All States provide an actual unadjusted count of families served each month.  For States reporting full population data, the number of child records reported each month were directly counted.  However, for States that only submit samples, the ratio of children-to-families was determined each month from the samples and then multiplied by the reported number of families to obtain an estimate of the unadjusted number of children served each month.  The unadjusted average number of families and children was obtained from the monthly numbers in the FY, as reported on the ACF-801 summary (header) record.",,,,,,,
"4. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,
"5.  At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012.",,,,,,,
"6. The ""Mean CoPay/Income"" columns exclude families with zero income because dividing by zero is undefined.",,,,,,,
"7.  The column labeled as ""Category A"" includes: families with zero income; families in Protective Services or families headed by a child; and families with invalid income or copay.",,,,,,,
"8. The ""Families with $0 Copay …"" category is the percentage of families that had a $0 co-payment and were not in Category A, divided by the count of all families. The sum of these three categories is 100%.",,,,,,,
"9. The results shown under ""Mean Copay/Income"" feature two different statistics, ""Including"" and ""Excluding"" $0 copay. The data analyzed for the ""Including Families with $0 CoPay"" category includes all families except those families in the ""Category A"" data, i.e. the total minus the Category A data. The data analyzed for ""Excluding Families with $0 CoPay"" includes only those families in the category ""Families with CoPay >$0 (and not in Category A).""  Alternatively, the data used for ""Excluding Families with $0 CoPay"" is all the family data minus those families in Category A and minus those families with $0 CoPay.",,,,,,,
"10. The National weighted values were determined by multiplying each State's average co-payment/income percentage by the adjusted number of children in each State, summing across the States and then dividing by the adjusted number of children served for the Nation.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
