Table 2,,,,,,
Child Care and Development Fund,,,,,,
,,,,,,
Percent of Children Served by Payment Method (FY 2012),,,,,,
State,Grants/Contracts %,Certificates %,Cash %,Total,,
,,,,,,
Alabama,0%,100%,0%,"42,763",,
Alaska,0%,90%,10%,"4,655",,
American Samoa,0%,0%,100%,"1,652",,
Arizona,0%,100%,0%,"46,663",,
Arkansas,0%,100%,0%,"14,875",,
California,42%,58%,0%,"177,626",,
Colorado,0%,100%,0%,"32,258",,
Connecticut,0%,0%,100%,"15,165",,
Delaware,100%,0%,0%,"10,101",,
District of Columbia,0%,100%,0%,"1,914",,
Florida,0%,100%,0%,"136,994",,
Georgia,0%,100%,0%,"84,644",,
Guam,17%,0%,83%,962,,
Hawaii,0%,0%,100%,"16,054",,
Idaho,0%,100%,0%,"10,939",,
Illinois,5%,95%,0%,"92,993",,
Indiana,1%,99%,0%,"53,041",,
Iowa,0%,100%,0%,"28,249",,
Kansas,0%,100%,0%,"32,712",,
Kentucky,0%,100%,0%,"40,329",,
Louisiana,0%,100%,0%,"40,897",,
Maine,0%,100%,0%,"3,701",,
Maryland,0%,100%,0%,"31,822",,
Massachusetts,40%,60%,0%,"57,458",,
Michigan,0%,100%,0%,"93,946",,
Minnesota,0%,100%,0%,"41,897",,
Mississippi,3%,97%,0%,"27,151",,
Missouri,0%,100%,0%,"80,125",,
Montana,0%,98%,2%,"7,910",,
Nebraska,0%,100%,0%,"21,380",,
Nevada,18%,82%,0%,"10,718",,
New Hampshire,0%,100%,0%,"9,026",,
New Jersey,6%,94%,0%,"72,756",,
New Mexico,0%,100%,0%,"31,772",,
New York,25%,75%,0%,"204,245",,
North Carolina,0%,100%,0%,"92,606",,
North Dakota,0%,100%,0%,"5,427",,
Northern Mariana Islands,0%,100%,0%,515,,
Ohio,0%,100%,0%,"92,228",,
Oklahoma,0%,100%,0%,"46,288",,
Oregon,10%,90%,0%,"18,858",,
Pennsylvania,0%,100%,0%,"146,959",,
Puerto Rico,41%,59%,0%,"19,665",,
Rhode Island,0%,100%,0%,"9,336",,
South Carolina,0%,100%,0%,"30,001",,
South Dakota,1%,99%,0%,"10,261",,
Tennessee,0%,100%,0%,"63,510",,
Texas,0%,100%,0%,"193,826",,
Utah,0%,0%,100%,"26,509",,
Vermont,0%,100%,0%,"7,149",,
Virgin Islands,0%,100%,0%,814,,
Virginia,0%,100%,0%,"39,672",,
Washington,0%,100%,0%,"73,870",,
West Virginia,0%,100%,0%,"12,060",,
Wisconsin,0%,100%,0%,"58,859",,
Wyoming,0%,100%,0%,"8,720",,
National Total,8%,89%,2%,"2,536,524",,
Notes applicable to this table:,,,,Data as of: 12-JUN-2014 ,,
"1. The source for this table is ACF-800 data for FFY 2012.  The ACF-800 is based on an annual unduplicated count of families and children; i.e., a family or child that receives one hour of service on one day is counted the same as a family or child that receives full-time care throughout the fiscal year.",,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.  ",,,,,,
"3. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,
"4. At the time of publication, all States and Territories had submitted their ACF-800 data for FY 2012.",,,,,,
,,,,,,
,,,,,,
