Table 3,,,,,,,,
Child Care and Development Fund,,,,,,,,
,,,,,,,,
Average Monthly Percentages of Children Served by Types of Care (FY 2012),,,,,,,,
State,Child's Home,Family Home,Group Home,Center,Invalid/Not Reported,Total,,
Alabama,0%,5%,3%,92%,0%,100%,,
Alaska,11%,26%,7%,56%,0%,100%,,
American Samoa,0%,0%,4%,50%,46%,100%,,
Arizona,2%,11%,6%,81%,0%,100%,,
Arkansas,0%,11%,0%,89%,0%,100%,,
California,1%,32%,14%,53%,0%,100%,,
Colorado,1%,16%,0%,67%,16%,100%,,
Connecticut,16%,31%,0%,53%,0%,100%,,
Delaware,0%,22%,3%,74%,0%,100%,,
District of Columbia,0%,3%,0%,96%,0%,100%,,
Florida,0%,7%,0%,93%,0%,100%,,
Georgia,0%,6%,3%,91%,0%,100%,,
Guam,3%,3%,1%,94%,0%,100%,,
Hawaii,45%,34%,0%,22%,0%,100%,,
Idaho,2%,17%,16%,64%,0%,100%,,
Illinois,14%,42%,2%,41%,0%,100%,,
Indiana,0%,38%,0%,62%,0%,100%,,
Iowa,1%,44%,6%,49%,0%,100%,,
Kansas,5%,11%,46%,38%,0%,100%,,
Kentucky,1%,8%,1%,90%,0%,100%,,
Louisiana,2%,10%,0%,88%,0%,100%,,
Maine,0%,32%,0%,67%,1%,100%,,
Maryland,7%,39%,0%,52%,2%,100%,,
Massachusetts,0%,1%,26%,73%,0%,100%,,
Michigan,20%,31%,14%,34%,0%,100%,,
Minnesota,5%,37%,0%,58%,0%,100%,,
Mississippi,3%,15%,1%,81%,1%,100%,,
Missouri,3%,26%,2%,69%,0%,100%,,
Montana,2%,16%,42%,39%,0%,100%,,
Nebraska,0%,26%,7%,66%,0%,100%,,
Nevada,9%,13%,1%,78%,0%,100%,,
New Hampshire,2%,14%,0%,83%,1%,100%,,
New Jersey,1%,11%,0%,86%,2%,100%,,
New Mexico,2%,17%,6%,74%,0%,100%,,
New York,13%,24%,21%,41%,0%,100%,,
North Carolina,0%,14%,0%,85%,1%,100%,,
North Dakota,0%,39%,34%,28%,0%,100%,,
Northern Mariana Islands,0%,3%,0%,75%,21%,100%,,
Ohio,0%,20%,3%,77%,1%,100%,,
Oklahoma,0%,16%,0%,84%,0%,100%,,
Oregon,21%,47%,10%,22%,0%,100%,,
Pennsylvania,1%,24%,4%,69%,2%,100%,,
Puerto Rico,0%,40%,0%,58%,1%,100%,,
Rhode Island,0%,28%,0%,71%,0%,100%,,
South Carolina,1%,12%,2%,77%,7%,100%,,
South Dakota,1%,43%,3%,52%,0%,100%,,
Tennessee,0%,16%,4%,79%,0%,100%,,
Texas,0%,4%,2%,94%,0%,100%,,
Utah,7%,24%,16%,50%,4%,100%,,
Vermont,3%,38%,0%,58%,1%,100%,,
Virgin Islands,4%,2%,31%,63%,0%,100%,,
Virginia,5%,26%,1%,68%,0%,100%,,
Washington,13%,33%,0%,55%,0%,100%,,
West Virginia,0%,29%,6%,65%,0%,100%,,
Wisconsin,0%,21%,0%,72%,8%,100%,,
Wyoming,4%,29%,16%,52%,0%,100%,,
National Total,4%,21%,6%,68%,1%,100%,,
Notes applicable to this table:,,,,,,Data as of: 12-JUN-2014 ,,
1. The source for this table is ACF-801 data for FY 2012. ,,,,,,,,
"2.  All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800.  This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,,,
"3. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.",,,,,,,,
"4. At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012. ",,,,,,,,
"5. Some children are reported to have multiple settings for the same month.  Children in more than one setting category within the same month were counted in each setting in proportion to the number of hours of service received in each setting.  For example, if the child spent 70 hours in a center and 30 hours in a child's home, the child would be scored as 0.7 count in Center and 0.3 count in Child's Home (proportional counting). ",,,,,,,,
"6. For consistency between related reports involving setting data, children with invalid or missing data for care type, hours, or payment for any setting(s) are reported in the Invalid/Not Reported category.",,,,,,,,
,,,,,,,,
,,,,,,,,
