Table 5,,,,,,
Child Care and Development Fund,,,,,,
,,,,,,
"Of Children in Settings Legally Operating Without Regulation,
Average Monthly Percent Served by Relatives vs. Non-Relatives (FY 2012)",,,,,,
State,Relative,Non-Relative,Total %,Total Count,,
Alabama,98%,2%,100%,544,,
Alaska,53%,47%,100%,958,,
American Samoa,NA,NA,NA,0,,
Arizona,100%,0%,100%,"1,926",,
Arkansas,0%,100%,100%,35,,
California,72%,28%,100%,"19,846",,
Colorado,81%,19%,100%,329,,
Connecticut,83%,17%,100%,"2,964",,
Delaware,100%,0%,100%,267,,
District of Columbia,100%,0%,100%,4,,
Florida,10%,90%,100%,215,,
Georgia,76%,24%,100%,757,,
Guam,18%,82%,100%,17,,
Hawaii,87%,13%,100%,"6,650",,
Idaho,38%,62%,100%,"1,114",,
Illinois,69%,31%,100%,"18,706",,
Indiana,30%,70%,100%,709,,
Iowa,0%,100%,100%,"2,175",,
Kansas,84%,16%,100%,"2,976",,
Kentucky,55%,45%,100%,947,,
Louisiana,34%,66%,100%,"3,377",,
Maine,12%,88%,100%,245,,
Maryland,85%,15%,100%,"2,470",,
Massachusetts,NA,NA,NA,0,,
Michigan,74%,26%,100%,"22,951",,
Minnesota,57%,43%,100%,"2,956",,
Mississippi,50%,50%,100%,"3,448",,
Missouri,48%,52%,100%,"10,036",,
Montana,53%,47%,100%,441,,
Nebraska,19%,81%,100%,"1,262",,
Nevada,61%,39%,100%,849,,
New Hampshire,39%,61%,100%,525,,
New Jersey,40%,60%,100%,"1,601",,
New Mexico,67%,33%,100%,"3,526",,
New York,53%,47%,100%,"34,110",,
North Carolina,90%,10%,100%,380,,
North Dakota,42%,58%,100%,749,,
Northern Mariana Islands,100%,0%,100%,6,,
Ohio,NA,NA,NA,0,,
Oklahoma,NA,NA,NA,0,,
Oregon,43%,57%,100%,"6,898",,
Pennsylvania,57%,43%,100%,"17,698",,
Puerto Rico,77%,23%,100%,"5,401",,
Rhode Island,58%,42%,100%,64,,
South Carolina,36%,64%,100%,"1,313",,
South Dakota,65%,35%,100%,813,,
Tennessee,24%,76%,100%,"3,525",,
Texas,100%,0%,100%,"1,881",,
Utah,99%,1%,100%,"3,244",,
Vermont,56%,44%,100%,456,,
Virgin Islands,86%,14%,100%,7,,
Virginia,44%,56%,100%,"1,973",,
Washington,71%,29%,100%,"6,835",,
West Virginia,46%,54%,100%,26,,
Wisconsin,NA,NA,NA,0,,
Wyoming,58%,42%,100%,704,,
National Total,62%,38%,100%,"200,912",,
Notes applicable to this table:,,,,Data as of: 12-JUN-2014,,
1. The source for this table is ACF-801 data for FY 2012. ,,,,,,
"2. All percentages are based on ""adjusted"" numbers of families and children, unless otherwise indicated. These ""adjusted"" numbers represent the number funded through CCDF only (which includes Federal Discretionary, Mandatory, and Matching Funds; TANF transfers to CCDF; and State Matching and Maintenance of Effort Funds). The ""adjusted"" number is the raw or ""unadjusted"" number reported by the State multiplied by its pooling factor, as reported on the ACF-800. This report takes this factor into consideration in calculating the ""adjusted"" numbers or percentages.",,,,,,
"3. A ""0%"" indication often means the value is less than 0.5% rather than actually zero.  In a few instances, the sum of the categories may not appear to add up to exactly 100% because of rounding.  In this table, centers operating without regulation (data element 26 = 11) were considered Non-Relative.",,,,,,
"4. In some States there were no children served in unregulated settings and thus the percent is ""NA"" since division by zero is undefined.  States with no Providers Legally Operating Without Regulation include:  American Samoa, Massachusetts, Ohio, Oklahoma, and Wisconsin.",,,,,,
"5. At the time of publication, all States and Territories had submitted the full 12 months of data for FY 2012. ",,,,,,
"6. Some children are reported to have multiple settings for the same month.  Children in more than one setting category within the same month were counted in each setting in proportion to the number of hours of service received in each setting.  For example, if the child spent 70 hours in a center and 30 hours in a child's home, the child would be scored as 0.7 count in Center and 0.3 count in Child's Home (proportional counting). ",,,,,,
"7. For consistency between related reports involving setting data, children with invalid or missing data for care type, hours, or payment for any setting(s) are reported in the Invalid/Not Reported category.",,,,,,
