Table 6,,,,,,,,,,,,,,,,,,0
Child Care and Development Fund,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Monthly Percentages of Children Served in All Types of Care (FY 2012),,,,,,,,,,,,,,,,,,
State,Total % of Children,Licensed or Regulated Providers,,,,Providers Legally Operating without Regulation,,,,,,,Invalid/ Not Reported,,,,,
,,Child's Home,Family Home,Group Home,Center,Child's Home,,Family Home,,Group Home,,Center,,,,,,
,,,,,,Relative,Non-Relative,Relative,Non-Relative,Relative,Non-Relative,,,,,,,
Alabama,100%,0%,3%,3%,57%,0%,0%,2%,0%,0%,0%,35%,0%,,,,,
Alaska,100%,0%,14%,7%,56%,2%,9%,10%,2%,0%,0%,0%,0%,,,,,
American Samoa,100%,0%,0%,4%,50%,0%,0%,0%,0%,0%,0%,0%,46%,,,,,
Arizona,100%,0%,5%,6%,81%,2%,0%,5%,0%,0%,0%,0%,0%,,,,,
Arkansas,100%,0%,11%,0%,89%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
California,100%,0%,13%,14%,50%,0%,0%,14%,5%,0%,0%,3%,0%,,,,,
Colorado,100%,0%,14%,0%,67%,0%,0%,1%,0%,0%,0%,0%,16%,,,,,
Connecticut,100%,0%,16%,0%,48%,12%,4%,14%,1%,0%,0%,5%,0%,,,,,
Delaware,100%,0%,19%,3%,71%,0%,0%,3%,0%,0%,0%,3%,0%,,,,,
District of Columbia,100%,0%,3%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Florida,100%,0%,7%,0%,85%,0%,0%,0%,0%,0%,0%,7%,0%,,,,,
Georgia,100%,0%,5%,3%,91%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,
Guam,100%,0%,0%,1%,93%,0%,3%,1%,2%,0%,0%,1%,0%,,,,,
Hawaii,100%,0%,7%,0%,21%,39%,6%,23%,4%,0%,0%,1%,0%,,,,,
Idaho,100%,0%,0%,16%,64%,2%,1%,6%,11%,0%,0%,0%,0%,,,,,
Illinois,100%,0%,21%,2%,38%,9%,5%,15%,6%,0%,0%,4%,0%,,,,,
Indiana,100%,0%,36%,0%,36%,0%,0%,1%,1%,0%,0%,25%,0%,,,,,
Iowa,100%,0%,31%,6%,49%,0%,1%,0%,13%,0%,0%,0%,0%,,,,,
Kansas,100%,0%,0%,46%,38%,3%,2%,11%,0%,0%,0%,0%,0%,,,,,
Kentucky,100%,0%,5%,1%,90%,1%,0%,1%,1%,0%,0%,0%,0%,,,,,
Louisiana,100%,0%,0%,0%,87%,2%,1%,2%,7%,0%,0%,1%,0%,,,,,
Maine,100%,0%,23%,0%,66%,0%,0%,1%,8%,0%,0%,1%,1%,,,,,
Maryland,100%,0%,33%,0%,52%,5%,2%,6%,0%,0%,0%,0%,2%,,,,,
Massachusetts,100%,0%,1%,26%,73%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Michigan,100%,0%,9%,14%,34%,9%,11%,22%,0%,0%,0%,0%,0%,,,,,
