Table 9,,,,,,,,,,,,
Child Care and Development Fund,,,,,,,,,,,,
,,,,,,,,,,,,
Average Monthly Percentages of Children In Care By Age Group (FY 2012),,,,,,,,,,,,
,0 to,1 yr to,2 yrs to,3 yrs to,4 yrs to,5 yrs to,6 yrs to,,Invalid/Not,,,
State,< 1 yr,< 2 yrs,< 3 yrs,< 4 yrs,< 5 yrs,< 6 yrs,< 13 yrs,13+ yrs,Reported,Total,,
Alabama,6%,11%,13%,14%,13%,10%,33%,0%,0%,100%,,
Alaska,6%,11%,14%,15%,14%,10%,30%,0%,0%,100%,,
American Samoa,9%,17%,21%,19%,16%,11%,7%,0%,0%,100%,,
Arizona,5%,9%,11%,13%,14%,11%,37%,0%,0%,100%,,
Arkansas,11%,16%,18%,16%,12%,9%,19%,0%,0%,100%,,
California,3%,5%,10%,16%,21%,12%,33%,0%,0%,100%,,
Colorado,6%,11%,13%,15%,14%,11%,30%,0%,0%,100%,,
Connecticut,6%,11%,14%,16%,15%,10%,29%,0%,0%,100%,,
Delaware,6%,11%,13%,14%,13%,10%,33%,0%,0%,100%,,
District of Columbia,7%,18%,23%,20%,10%,5%,16%,0%,0%,100%,,
Florida,5%,10%,14%,16%,16%,12%,25%,0%,0%,100%,,
Georgia,5%,10%,13%,14%,13%,10%,34%,0%,0%,100%,,
Guam,0%,2%,17%,23%,27%,20%,10%,0%,0%,100%,,
Hawaii,6%,12%,14%,16%,15%,8%,28%,0%,0%,100%,,
Idaho,6%,10%,13%,14%,14%,12%,31%,0%,0%,100%,,
Illinois,5%,9%,11%,12%,12%,10%,40%,0%,0%,100%,,
Indiana,4%,9%,13%,14%,13%,13%,34%,0%,0%,100%,,
Iowa,6%,10%,12%,13%,13%,11%,34%,0%,0%,100%,,
Kansas,5%,10%,12%,14%,13%,11%,35%,0%,0%,100%,,
Kentucky,7%,11%,13%,14%,13%,10%,31%,0%,0%,100%,,
Louisiana,8%,15%,19%,18%,13%,8%,20%,0%,0%,100%,,
Maine,5%,10%,13%,15%,16%,10%,31%,0%,0%,100%,,
Maryland,3%,10%,14%,15%,13%,10%,34%,0%,0%,100%,,
Massachusetts,4%,10%,12%,15%,15%,12%,31%,0%,0%,100%,,
Michigan,5%,10%,12%,12%,12%,9%,39%,0%,0%,100%,,
Minnesota,5%,10%,12%,14%,14%,11%,34%,0%,0%,100%,,
Mississippi,4%,10%,13%,14%,13%,11%,35%,1%,0%,100%,,
Missouri,6%,11%,13%,15%,14%,10%,29%,1%,0%,100%,,
Montana,7%,12%,14%,14%,15%,11%,27%,0%,0%,100%,,
Nebraska,7%,11%,13%,13%,13%,10%,32%,0%,0%,100%,,
Nevada,6%,10%,12%,13%,14%,11%,34%,0%,0%,100%,,
