id,city,state,latitude,longitude
1378420,A B C Creek,TX,33.0406548,-100.5626130
204724,Abarr,CO,39.8505439,-102.7071531
128260,Abbeville East,AL,31.5204477,-85.1913208
533337,Abbeville East,LA,29.8832629,-92.0556795
1247490,Abbeville East,SC,34.2220610,-82.3301248
333299,Abbeville North,GA,32.0979534,-83.2504324
333119,Abbeville South,GA,31.9668455,-83.2829344
112880,Abbeville West,AL,31.5718352,-85.2504893
544249,Abbeville West,LA,29.8760418,-92.1748495
1231897,Abbeville West,SC,34.1384480,-82.4898504
1560663,Abbotsford,WI,44.9463560,-90.3159690
71528,Abbott,AR,35.0973174,-94.1349301
70403,Abbott,AR,35.0734293,-94.1938205
72317,Abbott,AR,35.0275972,-94.2310436
826889,Abbott,NE,40.9747344,-98.4814562
901699,Abbott,NM,36.3055851,-104.2588701
1329165,Abbott,TX,31.8848809,-97.0733361
1748811,Abbott Lake,MT,48.4097015,-112.2292060
980015,Abbottsburg,NC,34.5171140,-78.7250179
156680,Abbottsford,AL,33.1078994,-85.2357775
330994,Abbottsford,GA,33.0473455,-85.1796645
1209194,Abbottstown,PA,39.8864869,-76.9847013
1172975,Abbottstown,PA,39.9837078,-76.8944178
1377158,Abell,TX,35.3933811,-101.4587810
646108,Abercrombie,MN,46.4363493,-96.6847986
1027647,Abercrombie,ND,46.4477384,-96.7303557
76546,Aberdeen,AR,34.5256534,-91.3259569
45773,Aberdeen,AR,34.6034302,-91.3417918
256098,Aberdeen,CA,36.9779897,-118.2534321
396023,Aberdeen,ID,42.9440784,-112.8383265
429985,Aberdeen,IN,38.9053377,-84.9874511
582854,Aberdeen,MD,39.5095556,-76.1641197
666129,Aberdeen,MS,33.8251139,-88.5436553
1511950,Aberdeen,WA,46.9753708,-123.8157218
1253581,Aberdeen East,SD,45.4646985,-98.4864829
1852935,Aberdeen Gardens,WA,47.0625921,-123.7796110
1263447,Aberdeen West,SD,45.4821991,-98.5170390
112891,Aberfoil,AL,32.0704299,-85.6877257
153608,Abernant,AL,33.3534460,-87.1277738
112892,Abernant,AL,33.2903926,-87.1980530
1350851,Abernathy,TX,33.8323038,-101.8429491
1379490,Abernathy SW,TX,33.7659165,-101.9576725
194941,Abeyta,CO,37.0797434,-104.1863654
923550,Abeytas,NM,34.4675637,-106.8114154
476675,Abilene,KS,38.9172216,-97.2139094
1477247,Abilene,VA,37.2001497,-78.6041668
1492445,Abilene,VA,37.1415394,-78.5441634
1388540,Abilene East,TX,32.4998459,-99.7459225
1348997,Abilene West,TX,32.4576239,-99.8714811
454078,Abingdon,IA,41.0822387,-92.1390672
454670,Abingdon,IA,41.0461273,-92.2371254
403320,Abingdon,IL,40.8044833,-90.4017954
1498444,Abingdon,VA,36.7098335,-81.9773482
928674,Abiquiu,NM,36.2072410,-106.3186397
2034631,Ables Springs,TX,32.8148476,-96.1210842
1377928,Ables Springs,TX,32.8184581,-96.0338585
902937,Abo,NM,34.4558977,-106.3330712
1560668,Abrams,WI,44.7791593,-88.0598261
1027648,Absaraka,ND,46.9780313,-97.3945341
801981,Absarokee,MT,45.5204982,-109.4429444
1665632,Academy,CA,36.9077281,-119.5184665
1253585,Academy,SD,43.4563876,-99.0798134
1379310,Acala,TX,31.3340130,-105.9144137
1377916,Acampo,TX,32.7128965,-99.4436928
582858,Accident,MD,39.6286960,-79.3197590
1190080,Accident,PA,39.7428567,-79.2853108
1498445,Accomac,VA,37.7195742,-75.6654845
376163,Acequia,ID,42.6337977,-113.5705633
399762,Acequia,ID,42.6679642,-113.5969537
1089519,Achille,OK,33.8334343,-96.3872105
1353851,Achille,TX,33.7545474,-96.4130433
484547,Achilles,KS,39.7119477,-100.8362626
1462355,Achilles,VA,37.2801422,-76.4402257
1329187,Ackerly,TX,32.5264993,-101.7159700
692374,Ackerman,MS,33.3101243,-89.1728434
1657957,Ackerson Mountain,CA,37.8274238,-119.7712866
456560,Ackley,IA,42.6152547,-93.0860330
454084,Ackley,IA,42.5541451,-93.0532553
